행정구,행정동,갈비/삼겹살,닭/오리요리,분식,양식,유흥주점,일식/수산물,제과제빵떡케익,커피점/카페,패스트푸드,한식/백반/한정식,총생활인구수_평일,10대 미만 생활인구_평일,10대 생활인구_평일,20~30대 생활인구_평일,40~50대 생활인구_평일,60대 생활인구_평일,70대 이상 생활인구_평일,총생활인구수_주말,10대 미만 생활인구_주말,10대 생활인구_주말,20~30대 생활인구_주말,40~50대 생활인구_주말,60대 생활인구_주말,70대 이상 생활인구_주말,대학교(전체),일반대학,온라인대학,초중고(전체),초등학교,중학교,고등학교,총인구수,총가구수,가구당인구수,평균소득금액,상권변화지표,운영점포영업개월,폐업점포영업개월,10대 미만,10대,20 ~ 30대,40 ~ 50대,60대,70대 이상,총인구,역(전체),역(환승역)
성북구,정릉1동,4,7,10,3,8,7,4,18,6,35,322548.9451,31509.63155,36869.6272,77981.43874,102437.3504,33568.67465,40182.22021,343710.8109,30050.09664,37884.84258,86202.25771,114592.6848,34005.99821,40974.93029,0,0,0,1,0,0,1,18481,7139,2.59,3757.225,HL,122.0,55.0,1305,1693,4796,5924,2325,2148,18191,1,0
성북구,정릉2동,5,10,12,3,12,8,6,18,8,26,448060.3472,38009.10065,40139.57077,122483.3136,136494.5636,54141.93525,56791.86303,474448.0438,36540.05966,42159.44248,133788.7581,148445.62,55985.7532,57528.40921,0,0,0,2,2,0,0,22963,9071,2.53,3726.145,LH,121.0,63.0,1311,1748,6264,7200,3400,3015,22938,0,0
성북구,정릉3동,0,19,19,7,22,7,9,32,13,51,455833.794,21032.13567,58752.84706,213160.1485,89573.7066,34037.48245,39277.4743,387380.6229,18846.3735,37380.41641,162890.099,92478.77266,34747.21166,41037.75193,2,2,0,4,1,2,1,17565,7882,2.23,3668.91,HH,122.0,62.0,510,1086,6311,4033,2275,2326,16541,0,0
성북구,정릉4동,4,14,22,7,7,12,6,25,12,44,430992.6387,29285.53804,41626.03599,120815.0343,125204.095,52178.57445,61883.363,460768.4724,33579.28405,43236.93716,121277.0864,141811.6843,56531.17223,64332.30689,0,0,0,1,1,0,0,25170,10018,2.51,3668.91,LH,111.0,60.0,1381,2052,6435,8162,3608,3269,24907,1,0
성북구,길음1동,4,19,22,5,10,3,14,26,18,35,823338.2059,120314.1801,131706.2368,164373.8602,255766.4543,69364.24443,81813.22955,867504.6417,122840.653,131613.5918,177708.8704,284074.9638,69726.1966,81540.36646,0,0,0,5,3,1,1,35023,11901,2.94,3845.54,HH,126.0,63.0,3288,4945,7352,12932,3379,3165,35061,1,0
성북구,길음2동,2,5,26,12,13,14,19,36,12,51,448710.0274,38890.64242,45954.03795,115955.0205,146095.687,48041.28535,53773.35346,501035.354,44233.64214,54155.23214,129789.119,166303.8098,50954.23209,55599.31988,0,0,0,0,0,0,0,16711,6466,2.58,3693.005,LH,113.0,59.0,2091,2000,5612,7393,2573,1948,21617,0,0
성북구,종암동,9,17,24,7,20,18,12,45,19,87,914871.1479,69666.08919,100459.4471,282233.9456,263571.6816,93036.08765,105903.8972,936017.9778,67067.29248,100284.2543,290375.6645,277516.1268,93276.07759,107498.5624,0,0,0,5,2,2,1,40945,17260,2.37,3674.34,HH,123.0,60.0,2341,3684,11831,12451,5043,4735,40085,1,0
성북구,월곡1동,4,13,16,8,2,10,15,33,10,25,577432.96,57076.05546,71006.21289,152374.1657,174179.6427,58660.27172,64136.61233,564450.384,52454.52735,65041.78316,144663.6055,181412.8229,58372.18528,62505.46198,0,0,0,4,2,1,1,26175,10089,2.59,3540.47,HL,126.0,53.0,1756,2508,6363,8688,3687,3225,26227,0,0
성북구,월곡2동,7,18,15,13,13,16,13,42,15,52,580037.8867,38826.36451,54968.71532,192063.1772,165675.7203,60453.6237,68050.28641,564998.6003,39566.42704,54687.82944,182062.5649,164205.006,57984.56358,66492.2095,0,0,0,1,0,1,0,20300,9238,2.2,3505.88,LH,117.0,56.0,946,1496,6561,5683,2718,2451,19855,2,0
성북구,장위1동,5,9,10,5,15,4,5,20,7,52,487404.9692,38757.95281,49074.71393,124711.2774,155538.5262,59796.06949,59526.43062,524249.1931,39099.97193,52212.50321,139930.5973,170822.6005,60934.51875,61249.00271,0,0,0,2,1,1,0,19411,8134,2.39,3804.88,HH,127.0,60.0,1636,1871,6600,7858,3532,2650,24147,0,0
성북구,장위2동,6,10,9,2,20,14,2,12,7,28,275540.5238,14526.46879,20168.6711,76748.72685,85514.03274,37103.711,41478.91374,283577.2168,14319.76315,22223.89943,80434.12484,85812.20375,37904.10429,42883.1191,0,0,0,2,2,0,0,13774,5980,2.3,3804.88,HH,150.0,62.0,557,836,3798,4186,2234,2115,13726,0,0
성북구,장위3동,2,1,6,1,6,4,2,15,5,15,190648.3206,12982.9639,18292.5195,56021.35658,58610.2626,22436.28981,22304.9293,193189.9683,12415.72998,17921.97235,57000.54675,60118.43664,22821.95465,22911.33006,0,0,0,3,2,1,0,17256,6854,2.52,3804.88,HH,130.0,68.0,1618,1329,4410,5140,1967,1342,15806,0,0
성북구,석관동,11,23,29,9,30,27,11,44,14,97,639838.0806,46527.97524,54237.94709,181357.542,191055.7719,77260.94081,89397.90285,667772.6017,46575.52296,56050.29116,195141.3971,202852.2329,78072.46233,89080.69526,1,0,0,4,2,1,1,35958,15862,2.27,3600.15,HH,136.0,58.0,1843,2070,10292,10753,5543,4959,35460,1,0
강북구,삼양동,2,15,17,3,7,8,9,10,9,32,527046.9807,38917.67825,50914.33971,123529.906,162047.53,66595.46043,85042.06494,554171.1301,37564.58578,51867.79005,136052.8726,174260.2015,68532.5788,85893.09993,0,0,0,4,2,1,1,23494,9916,2.37,3467.21,HL,126.0,55.0,1116,1747,5790,7569,3773,3298,23293,3,0
강북구,미아동,7,25,32,11,40,13,10,39,16,76,565977.4028,19462.50516,40174.70957,182458.7314,171742.1654,74127.915,78011.37843,558841.5631,20662.61209,36369.006,182854.6916,169585.3088,73057.69351,76312.24859,1,0,1,2,0,1,1,22156,10841,2.04,3467.21,LL,114.0,50.0,675,1269,6722,6508,3500,3094,21768,1,0
강북구,송중동,24,25,39,12,62,35,19,51,27,124,833791.3441,56193.03304,75772.17995,219999.6366,261094.2873,103383.6175,117348.5904,855706.3317,51895.38195,70183.9889,239689.3104,270966.7816,104893.3307,118077.5378,0,0,0,4,2,1,1,29719,13027,2.28,3467.21,LL,111.0,53.0,1450,1948,8281,9566,4708,4051,30004,1,0
강북구,송천동,9,22,31,7,40,20,17,34,13,108,632710.8074,42736.49446,60604.8917,145805.378,203803.7707,83579.90201,96180.3713,643816.0038,37611.56335,53457.64515,158831.4772,211954.7748,84608.85378,97351.68796,0,0,0,6,2,2,2,26986,12233,2.21,3467.21,HH,127.0,56.0,908,1437,6505,8384,4694,4179,26107,0,0
강북구,삼각산동,4,5,19,3,9,5,9,13,8,28,521275.6553,70195.24131,72960.18215,101113.6795,164608.5768,49703.8208,62694.15411,535564.0724,61133.66225,69657.22393,109235.9696,181983.4337,50475.97838,63077.80289,0,0,0,3,1,1,1,30954,11062,2.8,3467.21,LL,102.0,51.0,2505,3863,6628,11270,3557,3085,30908,0,0
강북구,번1동,6,15,30,8,38,20,14,36,23,71,400091.5441,16257.86068,24108.00593,127794.239,127845.5389,49319.24699,54766.65342,407975.2056,17722.55253,27138.0479,133146.6532,126267.3261,48685.41858,55015.20681,0,0,0,2,1,1,0,18848,9514,1.98,3640.1,LL,113.0,49.0,592,995,6005,5809,2735,2548,18684,0,0
강북구,번2동,2,6,11,2,4,1,5,9,1,12,284747.1041,18705.96777,23259.7172,65249.35795,86694.68745,39268.51828,51568.8555,306702.91,18832.98015,25021.94453,73064.57166,94964.48273,41892.98488,52925.94305,0,0,0,1,0,1,0,15908,7028,2.26,3640.1,LL,119.0,55.0,537,912,3756,4790,2676,2859,15530,0,0
강북구,번3동,2,7,4,3,5,0,2,11,5,13,340379.2652,27137.2981,28792.95936,70046.53725,104850.8501,44715.81734,64835.80491,359007.2993,26195.05229,30613.25735,78376.50534,112358.1124,45936.45048,65527.92269,0,0,0,2,2,0,0,16994,7159,2.37,3640.1,HL,122.0,50.0,769,1166,3337,5092,2661,3505,16530,0,0
강북구,수유1동,8,12,21,7,13,16,13,24,10,72,395657.2609,23670.12805,33879.85455,105120.1977,117884.962,52858.47495,62243.64427,415115.2017,22219.82258,30533.7242,116302.7518,126552.0239,54990.89215,64515.98691,0,0,0,5,2,2,1,20423,9286,2.2,3657.81,HL,124.0,55.0,832,1266,5829,6304,3354,3058,20643,1,0
